TIMESTAMP_1,Ta_1_1_1,RH_1_1_1,PPFD_1_1_1,P_1_1_1
yyyy-mm-dd HHMM,C,%,umol+1m-2s-1,mm
2023-05-18 1900,10.105,48.706,271.998,0
2023-05-18 1930,9.172,53.567,239.587,0
2023-05-18 2000,8.375,58.222,228.704,0
2023-05-18 2030,8.421,57.462,147.716,0
2023-05-18 2100,8.732,54.869,76.579,0
2023-05-18 2130,8.687,55.109,37.972,0
2023-05-18 2200,8.114,54.981,14.14,0
2023-05-18 2230,,,,
2023-05-18 2300,5.038,66.559,0.596,0
2023-05-18 2330,4.173,66.888,0.318,0
2023-05-19 0000,3.751,66.985,0.238,0
2023-05-19 0030,3.443,68.004,0.238,0
2023-05-19 0100,3.103,69.315,0.278,0
2023-05-19 0130,2.709,70.263,0.278,0
2023-05-19 0200,2.207,69.278,0.079,0
2023-05-19 0230,2.128,68.408,0.199,0
2023-05-19 0300,1.909,69.326,0.119,0
2023-05-19 0330,2.167,68.708,0.318,0
2023-05-19 0400,2.085,70.219,1.311,0
2023-05-19 0430,1.726,72.615,2.939,0
2023-05-19 0500,1.273,77.951,3.535,0
2023-05-19 0530,0.395,98.555,15.332,0
2023-05-19 0600,0.512,100,13.068,0
2023-05-19 0630,0.428,100,41.11,0
2023-05-19 0700,1.619,88.141,22.6,0
2023-05-19 0730,1.411,87.201,36.661,0
2023-05-19 0800,0.983,97.296,98.266,0
2023-05-19 0830,1.616,88.418,124.719,0
2023-05-19 0900,1.841,94.062,275.692,0
2023-05-19 0930,1.926,92.665,241.176,0
2023-05-19 1000,1.962,91.662,162.373,0
2023-05-19 1030,2.243,88.631,125.593,0
2023-05-19 1100,2.163,88.708,121.78,0
2023-05-19 1130,2.291,90.046,176.314,0
2023-05-19 1200,2.675,88.196,309.811,0
2023-05-19 1230,2.908,81.255,209.599,0
2023-05-19 1300,2.907,87.104,274.183,0
2023-05-19 1330,3.345,83.06,306.633,0
2023-05-19 1400,3.095,82.438,222.826,0
2023-05-19 1430,3.258,85.694,243.678,0
2023-05-19 1500,3.505,81.186,183.106,0
2023-05-19 1530,3.585,80.78,300.755,0
2023-05-19 1600,4.089,77.054,474.726,0
2023-05-19 1630,5.477,69.03,712.406,0
2023-05-19 1700,5.879,66.031,541.216,0
2023-05-19 1730,6.535,62.245,631.101,0
2023-05-19 1800,6.719,66.059,533.947,0
2023-05-19 1830,6.881,65.934,438.065,0
2023-05-19 1900,6.966,62.363,355.329,0
2023-05-19 1930,7.14,66.388,270.806,0
2023-05-19 2000,7.115,66.574,201.218,0
2023-05-19 2030,6.723,64.629,137.628,0
2023-05-19 2100,6.678,65.973,80.591,0
2023-05-19 2130,6.371,65.673,38.091,0
2023-05-19 2200,5.67,69.582,14.339,0
2023-05-19 2230,5.669,69.685,3.813,0
2023-05-19 2300,5.9,67.987,0.715,0
2023-05-19 2330,4.839,66.7,0.199,0
2023-05-20 0000,4.089,72.075,0.119,0
2023-05-20 0030,3.919,71.482,0.119,0
2023-05-20 0100,3.429,73.013,0.199,0
2023-05-20 0130,2.956,76.158,0.119,0
2023-05-20 0200,2.49,79.703,0.159,0
2023-05-20 0230,2.374,80.687,0.159,0
2023-05-20 0300,2.695,76.165,0.159,0
2023-05-20 0330,2.752,74.759,0.318,0
2023-05-20 0400,1.844,83.484,2.343,0
2023-05-20 0430,1.166,93.079,10.128,0
2023-05-20 0500,0.915,95.82,22.997,0
2023-05-20 0530,0.793,94.654,52.231,0
2023-05-20 0600,0.513,95.187,61.724,0
2023-05-20 0630,0.41,95.464,119.794,0
2023-05-20 0700,1.309,87.888,272.753,0
2023-05-20 0730,1.853,80.557,357.434,0
2023-05-20 0800,2.705,71.505,446.604,0
2023-05-20 0830,3.539,63.622,525.527,0
2023-05-20 0900,4.46,58.902,608.302,0
2023-05-20 0930,4.637,55.658,601.311,0
2023-05-20 1000,5.243,44.171,661.843,0
2023-05-20 1030,6.065,42.684,834.464,0
2023-05-20 1100,5.901,43.478,919.264,0
2023-05-20 1130,5.766,43.983,982.537,0
2023-05-20 1200,6.477,42.66,545.783,0
2023-05-20 1230,6.745,42.173,635.231,0
2023-05-20 1300,7.518,39.8,1155.436,0
2023-05-20 1330,8.274,36.91,984.841,0
2023-05-20 1400,8.541,36.961,537.76,0
2023-05-20 1430,9.419,35.06,1161.354,0
2023-05-20 1500,9.749,33.676,743.864,0
2023-05-20 1530,10.069,33.571,438.184,0
2023-05-20 1600,10.261,33.91,467.378,0
2023-05-20 1630,10.888,33.541,457.05,0
2023-05-20 1700,11.008,33.001,344.208,0
2023-05-20 1730,10.998,33.639,304.488,0
2023-05-20 1800,11.206,33.373,245.863,0
2023-05-20 1830,11.444,32.471,165.749,0
2023-05-20 1900,11.268,31.837,97.114,0
2023-05-20 1930,10.777,35.407,71.177,0
2023-05-20 2000,9.224,47.51,52.151,0
2023-05-20 2030,8.692,50.918,33.761,0
2023-05-20 2100,7.518,61.835,22.084,0
2023-05-20 2130,5.78,79.208,11.399,0
2023-05-20 2200,5.367,87.454,6.474,0
2023-05-20 2230,5.02,92.611,1.072,0
2023-05-20 2300,4.667,94.248,0.238,0.1
2023-05-20 2330,4.547,96.899,0.079,0
2023-05-21 0030,4.517,96.525,0.04,0
2023-05-21 0100,4.086,98.884,0.04,0
2023-05-21 0130,3.873,90.573,0.199,0
2023-05-21 0200,3.359,90.765,0,0
2023-05-21 0230,2.972,93.912,0.159,0
2023-05-21 0300,2.679,87.492,0.119,0
2023-05-21 0330,2.076,85.742,0.516,0
2023-05-21 0400,1.164,73.25,3.495,0
2023-05-21 0430,0.731,75.963,14.061,0
2023-05-21 0500,0.243,74.545,37.694,0
2023-05-21 0530,,,,
2023-05-21 0600,0.3,68.876,146.445,0
2023-05-21 0630,0.668,67.494,257.501,0
2023-05-21 0700,0.879,64.871,325.857,0
2023-05-21 0730,1.355,64.17,401.801,0
2023-05-21 0800,1.276,64.226,174.567,0
2023-05-21 0830,1.37,64.601,214.723,0
2023-05-21 0900,1.935,62.95,303.217,0
2023-05-21 0930,1.972,61.879,301.788,0
2023-05-21 1000,2.578,59.366,812.896,0
2023-05-21 1030,3.427,55.34,644.526,0
2023-05-21 1100,4.513,52.3,915.173,0
2023-05-21 1130,4.955,46.441,969.47,0
2023-05-21 1200,5.016,39.659,1028.175,0
2023-05-21 1230,5.438,33.92,942.222,0
2023-05-21 1300,6.167,35.338,1048.313,0
2023-05-21 1330,6.385,30.186,1048.193,0
2023-05-21 1400,6.989,32.236,1020.747,0
2023-05-21 1430,7.062,30.637,746.763,0
2023-05-21 1500,7.056,34.934,405.693,0
2023-05-21 1530,7.214,34.094,544.115,0
2023-05-21 1600,7.764,31.578,400.689,0
2023-05-21 1630,7.714,33.285,598.809,0
2023-05-21 1700,7.937,32.461,545.585,0
2023-05-21 1730,8.059,29.122,692.189,0
2023-05-21 1800,8.144,27.737,559.844,0
2023-05-21 1830,8.255,23.684,472.938,0
2023-05-21 1900,7.936,24.959,389.17,0
2023-05-21 1930,7.784,30.654,304.091,0
2023-05-21 2000,7.816,34.135,243.758,0
2023-05-21 2030,6.93,33.81,160.148,0
2023-05-21 2100,5.67,34.888,90.362,0
2023-05-21 2130,4.771,40.312,43.294,0
2023-05-21 2200,4.08,45.192,18.708,0
2023-05-21 2230,3.049,47.652,5.799,0
2023-05-21 2300,2.092,53.339,1.112,0
2023-05-21 2330,0.648,57.26,0.477,0
2023-05-22 0000,-0.366,60.164,0.278,0
2023-05-22 0030,-1.088,61.542,0.04,0
2023-05-22 0100,-1.964,64.545,0.278,0
2023-05-22 0130,-2.374,65.98,0.199,0
2023-05-22 0200,-3.212,68.05,0.159,0
2023-05-22 0230,-4.175,70.369,0.278,0
2023-05-22 0300,-4.04,70.536,0.357,0
2023-05-22 0330,-3.958,71.234,0.516,0
2023-05-22 0400,-4.065,71.096,1.827,0
