eproc,dev,key,fix,OTHER,,,
0.8.5,b,ok,min?,BROKEN,https://colab.research.google.com/drive/1xVXAhar3Xv8mH3aekLWhFA8sYxr-yIT5,29 09 24,FluxFilterExt.ipynb-:@09=OO 25@A8O
0.8.5,b,ok,min,OK,https://colab.research.google.com/drive/1lXdVS4fAy1owA-Dwzfy3pxssfhAYrXgD,29 09 24,FluxFilterExt.ipynb-Fy2
0.8.5,b,ok,min*,OK,https://colab.research.google.com/drive/11B50OMunC3t7sbsggmIJLYJxW3KwtZrp,30 09 24,FluxFilterExt.ipynb-Fyo
0.8.5,b,ok,min,OK,https://colab.research.google.com/drive/1c9sOYA1fFneO-HDeWZmVOj9Dr39M1DEW,30 09 24,FluxFilterExt.ipynb-Fy4_4
0.8.5,b,ok,min,OK,https://colab.research.google.com/drive/1J0dus2AugMqdzc4cBTzyCwuKOiNdALkG,30 09 24,FluxFilterExt.ipynb-Fy3_3
0.8.5,b,ok,min,OK,https://colab.research.google.com/drive/1hlVgyE4BCXQ8IfHSURFZgdmrTx2_k4Ge,30 09 24,FluxFilterExt.ipynb-LTa_2
,,,,,,,
0.8.5,c,,min,OK,https://colab.research.google.com/drive/1ZHhgGwnrjjHvBtCm7a4nlBiCBx-axV3o,4 10 24,FluxFilter.ipynb-Lya1
,,,,,,,
0.8.5,d,,min,OK,https://colab.research.google.com/drive/1Ei4O3gsfelNBC6KIMvEbBZl2KuKzTkC5,4 10 24,FluxFilter.ipynb-Mu3_2
0.8.5,d,ok,min,OK,https://colab.research.google.com/drive/1qZvlS7N5XdEKOJwMMw82JeJR3QQ-_Ewe,4 10 24,FluxFilter.ipynb-Plt
,,,,,,,
0.9.0,d,,ok,few cols?,https://colab.research.google.com/drive/1Nqxq3SJ3QKcBJNkJTOl4d-m5YWuY6dsp,5 10 24,FluxFilter.ipynb-Zot1
0.9.0,d,,ok,OK,https://colab.research.google.com/drive/1REDfOS_cYpfHFGEzp3b9pGI9klPlkG-B,5 10 24,FluxFilter.ipynb-Tur1
0.9.0,d,,ok,OK,https://colab.research.google.com/drive/1upDOaY-jISrnuVExGecxwcsRA_IZ4X3l,6 10 24,FluxFilter.ipynb-Iga1
,,,,,,,
0.9.0,e,,ok,OK,https://colab.research.google.com/drive/1z8iOEGJB42tPAMLuyKf5tdKa6WyhHkbF,6 10 24,FluxFilter.ipynb-Spl1
,,,,,,,
0.9.0,,,-,OK,https://colab.research.google.com/drive/1mor4_IZUF4KBsMF3VZNc_fFQE0QytPhk,7 10 24,FluxFilter.ipynb-Elg3
0.9.0,,,-,OK,https://colab.research.google.com/drive/1I514ViEivrA9e1NqBHMIvrjyfDqpvBNt,7 10 24,FluxFilter.ipynb-Ckd1
